구분,단체이름,프로그램명,운영장소명,지원사업명,프로그램분야,프로그램대상,운영기간시작,운영기간종료,운영주소,시도,시군구,lat,lon
1,(주) 수앙,음율 팔레트-비상,강원특별자치도교육청 춘천가정형Wee센터 풀꽃마을학교,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」","음악,미술,융복합","아동,청소년",2025-05-07,2025-10-29,강원특별자치도 춘천시 동면 만천로143번길 24,강원특별자치도,춘천시,37.8807864774327,127.759827756943
2,(주) 수앙,음율 팔레트-비상,강원특별자치도교육청 원주가정형Wee센터 숨길학교,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」","음악,미술,융복합",청소년,2025-04-28,2025-11-03,강원특별자치도 원주시 판부면 용수골길 344,강원특별자치도,원주시,37.283442543206,127.939536054442
3,(주) 수앙,음율 팔레트-은빛 아티스트,양평군치매안심센터,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」","음악,미술,융복합",노년,2025-08-08,2025-10-31,경기도 양평군 양평읍 마유산로 17,경기,양평군,37.4970350781635,127.48668110758
4,(주) 수앙,음율 팔레트-푸른 유목,상천초등학교Wee클래스,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」","음악,미술,융복합","아동,청소년",2025-04-30,2025-10-23,강원특별자치도 춘천시 신북읍 상천2길 19,강원특별자치도,춘천시,37.9336084168825,127.785829584281
5,(주)감성스푼,캘포자?NO! 이제 난~ 캘승자!!,교도소(운영주소: 단체주소),,미술,"청년,중장년",2022-09-01,2022-09-30,경기도 하남시 미사대로 520,경기,하남시,37.5588264366331,127.204686431376
6,(사)참행복한(군포 그림책꿈마루),여름날의 더미북,군포 그림책꿈마루,2025 꿈다락 문화예술학교,"미술,문학",중장년,2025-07-10,2025-10-23,경기도 군포시 청백리길 16,경기,군포시,37.3628859843903,126.933931641253
7,(사)참행복한(군포 그림책꿈마루),자연으로 짓는 그림책,군포 그림책꿈마루,2025 꿈다락 문화예술학교,"미술,문학",아동,2025-07-05,2025-09-13,경기도 군포시 청백리길 6,경기,군포시,37.3610235158794,126.935316401547
8,(사)극단에저또,움직이는 정거장 나를 찾아서,,꿈다락예술문화학교,연극/뮤지컬,노년,,,동구 초량동 31-3 봉생지역 사회관,부산,동구,35.1229052230183,129.040867466715
9,(주)극단민들레,"나와 내주변 둘러보기 <다시, 봄>",우정청소년문화의집,꿈다락문화예술학교,연극/뮤지컬,청소년,2024-06-29,2024-11-16,경기도 화성시 우정읍 장안로 13-5,경기,화성시 만세구,37.0892041461606,126.817909425378
10,(재)고래문화재단,어린이는 무엇을 믿는가 마주보다,,꿈다락예술문화학교,"미술,연극/뮤지컬,무용",아동,,,남구 장생포고래로 110 장생포문화창고5층,울산,남구,35.5034836806981,129.367286186486
11,(재)고래문화재단,예술쉼표 예술로 피어 나(我),,꿈다락예술문화학교,미술,"청년,중장년",,,남구 장생포고래로 110 장생포문화창고5층,울산,남구,35.5034836806981,129.367286186486
12,(재)고래문화재단,어린이는 무엇을 믿는가-마주보다2,장생포문화창고2층,2024 생애주기별문화예술교육지원사업,"공예,미술","아동,청소년",2024-07-06,2024-11-24,울산광역시 남구 장생포고래로 110,울산,남구,35.5034836806981,129.367286186486
13,(재)고래문화재단,편식 없는 문화 장보기,,꿈다락예술문화학교,"미술,연극/뮤지컬,무용","청년,중장년",,,남구 장생포고래로 110 장생포문화창고 5층 강의실,울산,남구,35.5034836806981,129.367286186486
14,(재)고래문화재단,예술쉼표-소소살롱,장생포문화창고 2층,2024 생애주기별문화예술교육지원사업,"공예,미술","청년,중장년",2024-06-25,2024-11-12,울산광역시 남구 장생포고래로 110,울산,남구,35.5034836806981,129.367286186486
15,(재)고래문화재단,편식없는 문화 장보기2,장생포문화창고2층,2024 생애주기별문화예술교육지원사업,"미술,융복합","청년,중장년",2024-06-26,2024-11-27,울산광역시 남구 장생포고래로 110,울산,남구,35.5034836806981,129.367286186486
16,(재)고래문화재단,생애전환 문화예술학교 신박한 인생정리,,꿈다락예술문화학교,"미술,문학,연극/뮤지컬,무용",중장년,,,남구 장생포고래로 110 장생포문화창고5층,울산,남구,35.5034836806981,129.367286186486
17,(재)고래문화재단,신비한 예술마을 고래당,,꿈다락예술문화학교,미술,"아동,중장년",,,남구 장생포고래로 110 장생포문화창고5층,울산,남구,35.5034836806981,129.367286186486
18,(재)목포문화재단,2025 생활밀착형 문화예술교육 지원사업 「가가호호」,트윈스타 4층 (재)목포문화재단,2025 생활밀착형 문화예술교육 지원사업 「가가호호」,"음악,공예,미술,문학,기타",,2025-07-01,2025-09-30,전라남도 목포시 수문로 32,전남,목포시,34.79316775771,126.382906214503
19,(재)수성문화재단,가가호호,2층,2025생활밀착형 문화예술교육 지원사업,"공예,무용,미디어,융복합",,2025-07-05,2025-08-16,대구광역시 수성구 달구벌대로 2451,대구,수성구,35.8593746225039,128.630676542814
20,(재)안산문화재단,2025 꿈의 극단 '안산',안산문화예술의전당,2025 꿈의 극단 운영사업,연극/뮤지컬,청소년,2025-05-31,2025-11-15,경기도 안산시 단원구 화랑로 312,경기,안산시 단원구,37.3184271052101,126.823107286597
21,(재)완주문화재단,꿈의 무용단 운영사업,가족문화교육원,2024 꿈의 무용단 운영사업,무용,"아동,청소년",2024-04-27,2024-11-23,전북특별자치도 완주군 용진읍 완주로 456-39,전북특별자치도,완주군,35.9059918434128,127.158512273614
22,(재)완주문화재단,2025 꿈의 극단 '완주',완주향토예술문화회관,2025 꿈의 극단 운영사업,연극/뮤지컬,아동,2025-05-03,2025-11-29,전북특별자치도 완주군 삼례읍 삼봉로 215,전북특별자치도,완주군,35.9199003280376,127.093377204818
23,(재)울주문화재단,2024 <꿈의 무용단_울주>,울주문화예술회관,2024 <꿈의 무용단_울주>,무용,"아동,청소년",2024-05-11,2024-11-23,울산광역시 울주군 범서읍 천상중앙길 36,울산,울주군,35.5644309063786,129.23207292457
24,(재)종로문화재단,꿈다락문화예술학교 <종로영화국>,"우리소리도서관 4, 5층",2024 꿈다락문화예술학교,"음악,영화,연극/뮤지컬","청년,중장년",2024-09-02,2024-11-12,서울특별시 종로구 삼일대로30길 47,서울,종로구,37.5744920275842,126.990233369273
25,(재)종로문화재단,꿈의 극단 종로,혜화동 주민센터 자치회관 다목적실 지하1층,2025 꿈의 극단,연극/뮤지컬,아동,2025-05-21,2025-12-03,서울특별시 종로구 혜화로 12,서울,종로구,37.5868515419041,127.000623054549
26,(재)종로문화재단,2025 종로문화예술교육주간 <예술로 종로!>,4~5층,2025 생활밀착형 문화예술교육 가가호호,"국악,음악,공예,문학,연극/뮤지컬,무용,전통,건축,융복합",,2025-05-24,2025-06-15,서울특별시 종로구 새문안로 41,서울,종로구,37.5689816469659,126.969645715545
27,(재)천안문화재단,2024 꿈의 무용단 천안,1층,꿈의무용단,무용,"아동,청소년",2024-05-21,2024-12-03,충청남도 천안시 동남구 태조산길 261,충남,천안시 동남구,36.8220781941172,127.188954140775
28,(재)천안문화재단,2023 꿈의 댄스팀 천안,(재)천안문화재단,,무용,"아동,청소년",2023-05-01,2023-12-31,충청남도 천안시 서북구 성정8길 5 3층 천안문화재단,충남,천안시 서북구,36.8179059963222,127.141457787199
29,(재)천안문화재단,2023 꿈의 댄스팀 천안,(재)천안문화재단 3층 ,,무용,"아동,청소년",2023-05-01,2023-12-31,충청남도 천안시 서북구 성정8길 5,충남,천안시 서북구,36.8179059963222,127.141457787199
30,(재)행촌문화재단,자연생태예술_나의 작은우주 반려식물 이끼정원,,꿈다락예술문화학교,기타,"청년,중장년",,,해남군 해남읍 읍학동길 78-6 수윤아트스페이스,전남,해남군,34.5874791535232,126.581442254301
31,(재)행촌문화재단,주말예술캠퍼스 예술가 마을,,꿈다락예술문화학교,미술,"아동,청소년,청년,중장년",,,해남군 해남읍 읍학동길 78-6 수윤아트스페이스,전남,해남군,34.5874791535232,126.581442254301
